Name,Team,Role,Matches,Runs,Average,SR,Wickets,Age
Pawan Negi,KKR,ALL ROUNDER,50,365,14.04,126.3,34,22
Jasprit Bumrah,MI,BOWLER,92,40,13.33,97.56,109,29
Yashasvi Jaiswal,RR,BATSMAN,3,40,13.33,90.91,0,33
Shreyas Gopal,RR,ALL ROUNDER,45,164,12.62,104.46,48,33
Kagiso Rabada,DC,BOWLER,35,125,12.5,97.66,61,33
James Neesham,MI,ALL ROUNDER,9,61,12.2,95.31,3,33
Kane Richardson,RCB,BOWLER,14,36,12.0,92.31,18,33
Piyush Chawla,MI,ALL ROUNDER,164,584,11.92,111.45,156,33
Amit Mishra,DC,BOWLER,150,362,11.68,93.06,160,33
Dhawal Kulkarni,MI,BOWLER,91,104,11.56,96.3,86,33
Mohammed Siraj,RCB,BOWLER,35,46,11.5,92.0,39,33
Deepak Chahar,CSK,BOWLER,48,78,11.14,139.29,45,22
Rinku Singh,KKR,BATSMAN,10,77,11.0,101.32,0,33
Ravichandran Ashwin,DC,ALL ROUNDER,154,412,10.84,110.46,138,33
Chris Woakes,DC,ALL ROUNDER,18,63,10.5,95.45,25,33
Prabhsimran Singh,PBKS,WICKET KEEPER,3,31,10.33,96.88,0,33
Andrew Tye,RR,BOWLER,27,91,10.11,119.74,40,33
Harshal Patel,DC,BOWLER,48,128,9.85,137.63,46,33
Harshal Patel,RCB,BOWLER,48,128,9.85,137.63,46,33
Kuldeep Yadav,KKR,BOWLER,45,57,9.5,76.0,40,33
Ishant Sharma,DC,BOWLER,90,55,9.17,90.16,71,33
Jaydev Unadkat,RR,BOWLER,80,64,9.14,95.52,81,29
Mayank Markande,RR,BOWLER,17,27,9.0,93.1,16,24
Sandeep Sharma,SRH,BOWLER,92,44,8.8,77.19,109,33
Umesh Yadav,DC,BOWLER,121,122,8.71,95.31,119,33
Rashid Khan,SRH,BOWLER,62,139,8.69,149.46,75,33
Rahul Chahar,MI,BOWLER,31,17,8.5,100.0,30,23
Imran Tahir,CSK,BOWLER,58,33,8.25,89.19,80,28
KC Cariappa,RR,BOWLER,11,24,8.0,114.29,8,33
Shardul Thakur,CSK,BOWLER,45,48,8.0,114.29,46,43
Nathan Coulter-Nile,MI,BOWLER,33,77,7.7,118.46,41,33
Kamlesh Nagarkoti,KKR,BOWLER,10,22,7.33,70.97,5,33
Bhuvneshwar Kumar,SRH,BOWLER,121,183,7.32,94.33,13,36
Ravi Bishnoi,PBKS,BOWLER,14,7,7.0,58.33,12,33
Chris Jordan,PBKS,BOWLER,20,32,6.4,88.89,21,33
Vishnu Vinod,DC,WICKET KEEPER,3,19,6.33,73.08,0,33
Mohammed Shami,PBKS,BOWLER,63,56,5.6,100.0,60,33
Varun Chakravarthy,KKR,BOWLER,14,10,5.0,66.67,18,33
Shivam Mavi,KKR,ALL ROUNDER,17,23,4.6,79.31,14,26
Trent Boult,MI,BOWLER,48,12,4.0,80.0,63,33
Kartik Tyagi,RR,BOWLER,10,4,4.0,66.67,9,30
Mujeeb Ur Rahman,SRH,BOWLER,18,11,3.67,78.57,17,30
Yuzvendra Chahal,RCB,BOWLER,99,22,3.67,43.14,121,30
Adam Milne,MI,BOWLER,5,7,3.5,58.33,4,30
Shahbaz Nadeem,SRH,BOWLER,71,39,3.0,45.35,47,30
Jayant Yadav,MI,BOWLER,14,6,3.0,60.0,6,30
Siddarth Kaul,SRH,BOWLER,46,12,3.0,42.86,51,30
Prasidh Krishna,KKR,BOWLER,24,3,3.0,27.27,18,30
Adam Zampa,RCB,BOWLER,14,5,2.5,62.5,21,30
Murugan Ashwin,PBKS,BOWLER,31,8,2.0,66.67,25,30
Mustafizur Rahman,RR,BOWLER,24,1,1.0,33.33,24,30
Ravisrinivasan Sai Kishore,CSK,BOWLER,0,0,0.0,0.0,0,30
Josh Hazlewood,CSK,BOWLER,3,0,0.0,0.0,1,30
T Natarajan,SRH,BOWLER,22,3,0.0,60.0,18,30
Anukul Roy,MI,ALL ROUNDER,1,0,0.0,0.0,1,30
Hari Nishanth,CSK,BATSMAN,0,0,0.0,0.0,0,30
Marco Jansen,MI,ALL ROUNDER,0,0,0.0,0.0,0,30
Arjun Tendulkar,MI,ALL ROUNDER,0,0,0.0,0.0,0,25
KM Asif,CSK,BOWLER,2,0,0.0,0.0,3,25
Kyle Jamieson,RCB,BOWLER,0,0,0.0,0.0,0,25
Lungi Ngidi,CSK,BOWLER,11,0,0.0,0.0,20,25
Akash Singh,RR,BOWLER,0,0,0.0,0.0,0,25
Kuldip Yadav,RR,BOWLER,0,0,0.0,0.0,0,25
Harishankar Reddy,CSK,BOWLER,0,0,0.0,0.0,0,25
Dawid Malan,PBKS,BATSMAN,0,0,0.0,0.0,0,25
Virat Singh,SRH,BATSMAN,0,0,0.0,0.0,0,25
Pavan Deshpande,RCB,ALL ROUNDER,0,0,0.0,0.0,0,25
Suyash Prabhudessai,RCB,BATSMAN,0,0,0.0,0.0,0,25
Shahbaz Ahmed,RCB,ALL ROUNDER,2,1,0.0,100.0,2,25
Daniel Sams,RCB,ALL ROUNDER,3,0,0.0,0.0,0,25
Rajat Patidar,RCB,BATSMAN,0,0,0.0,0.0,0,25
Chetan Sakariya,RR,BOWLER,0,0,0.0,0.0,0,25
Anmolpreet Singh,MI,BATSMAN,0,0,0.0,0.0,0,25
